Geography,Statistic,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Average_employment_income,54300,54600,54800,54300,55000,55200,54600,54500,57200,57200,57500
Canada,Median_employment_income,40700,41300,41300,40900,41100,41900,42600,41400,43800,44200,44700
Canada,Percentage_under_5000,11.4,11.6,11.1,11.1,11.6,11.2,11.1,12.7,12.1,11.5,10.9
Canada,5000_to_9999,7.1,6.9,7,6.8,6.6,6.5,6.5,8,7.1,6.4,6.3
Canada,10000_to_9999,12.2,12.2,11.8,11.9,12,11.7,11.6,11.4,10.7,10.9,11.1
Canada,20000_to_9999,9.5,9.3,10,9.9,9.7,9.6,9.4,8.8,8.6,9.1,8.9
Canada,30000_to_9999,9.2,8.8,9.2,9.5,9,9.3,9,8.1,8.3,8.5,8.4
Canada,40000_to_9999,8.5,9.1,8.4,8.5,8.5,8.7,9,7.9,8.3,8.8,9.2
Canada,50000_to_9999,7.8,7.8,7.5,7.8,7.8,8,8.3,7.3,7.7,8.5,8.2
Canada,60000_to_9999,6.2,6.3,6.7,6.6,6.5,6.5,6.5,6.6,6.9,6.9,7
Canada,70000_to_9999,5.4,5.3,5.5,5.4,5.2,5.5,5.7,5.3,5.7,5.6,5.9
Canada,80000_to_9999,8.1,7.8,8,7.8,8.3,8.2,8.4,8.7,8.6,8.7,8.6
Canada,80000_to_9999,4.4,4.4,4.2,4.3,4.5,4.2,4.7,4.5,4.5,4.6,4.7
Canada,90000_to_9999,3.7,3.4,3.9,3.6,3.8,4,3.8,4.2,4.1,4.1,4
Canada,100000_and_over,14.6,14.9,14.8,14.7,14.7,14.8,14.5,15.2,16,15.2,15.5
Newfoundland,Average_employment_income,54100,55500,56500,54300,54100,54400,53300,50500,52600,52500,53200
Newfoundland,Median_employment_income,37500,39500,38900,38100,37400,38800,36700,36000,37500,38600,39400
Newfoundland,Percentage_under_5000,12.6,11.2,12,11.6,12.5,10.2,11.8,13.1,13.1,12.2,11.4
Newfoundland,5000_to_9999,6.8,6.3,6.9,6.4,7.3,7.7,6.2,8,6.9,6.5,7
Newfoundland,10000_to_9999,13.5,14.3,12.8,13.3,13.3,13.7,13.7,13.2,13.3,12.4,13
Newfoundland,20000_to_9999,10.6,9.5,11.2,10.8,9.3,10.1,11.9,10.1,10.4,10.4,8.8
Newfoundland,30000_to_9999,9.2,9,8.3,10.1,9.7,9.4,8.1,8.8,9,9.4,10.3
Newfoundland,40000_to_9999,7.9,7.9,6.6,6.5,7.3,7.5,7.5,7.7,8.2,8.9,8.6
Newfoundland,50000_to_9999,6,7.4,7.3,6.7,7.4,6.6,7.5,6.8,6.6,6.6,7
Newfoundland,60000_to_9999,5.6,5.2,5.6,5.9,5.8,6.3,5.3,6.1,5.7,5.8,5.9
Newfoundland,70000_to_9999,4.5,4.3,4.5,5.1,4.1,4.9,4.8,4.1,4.6,6,5
Newfoundland,80000_to_9999,7.7,7,7,7.1,8.7,7.5,8.2,6.7,7.2,8.1,8.5
Newfoundland,80000_to_9999,3.8,4.5,3.8,3.8,4.8,4,4.1,3.6,4.2,4.3,4.5
Newfoundland,90000_to_9999,3.9,2.6,3.2,3.2,3.9,3.5,4,3.1,3,3.7,4.1
Newfoundland,100000_and_over,15.7,17.9,18,16.5,14.6,16.1,15.1,15.4,15,13.7,14.4
Nova_Scotia,Average_employment_income,48400,48400,48600,49200,47300,48900,47900,47800,49600,50000,49600
Nova_Scotia,Median_employment_income,37700,37400,37100,37000,36900,38000,38000,37900,38500,39400,40200
Nova_Scotia,Percentage_under_5000,10.7,10.6,11.9,11,12.4,10.5,9.7,12,13,10.3,10.4
Nova_Scotia,5000_to_9999,7.7,7.6,6.1,6.7,6.8,7.2,8.1,8.1,6.6,7.1,7.1
Nova_Scotia,10000_to_9999,13.5,13.5,13.9,14,13.2,13.2,12.9,12.1,12.5,12.3,11.7
Nova_Scotia,20000_to_9999,11,9.3,10.6,11.7,10.6,10.6,10.7,10.8,9.2,10.4,10
Nova_Scotia,30000_to_9999,9.8,11.8,10.4,9.2,10.5,11.3,10.6,8.9,10.2,10.5,10.6
Nova_Scotia,40000_to_9999,10.2,9.3,9,9.8,9.5,8.9,10.5,8.2,9.4,9.7,9.7
Nova_Scotia,50000_to_9999,6.4,7.7,8,7.6,7.6,7.2,7.1,8.7,7.3,9.5,8.5
Nova_Scotia,60000_to_9999,7.1,6.1,6.1,6.5,6.1,6.7,6.6,6.2,6.2,6,6.8
Nova_Scotia,70000_to_9999,4.7,4.8,5.4,4.5,4.9,4.6,4.8,5.8,5.2,5.6,5.3
Nova_Scotia,80000_to_9999,7.7,8.1,7.4,7.6,7,8.1,8.6,8.5,8.5,8,9.1
Nova_Scotia,80000_to_9999,3.8,4.3,3.6,3.8,3.8,3.8,4.9,4.3,4.7,4.1,5.2
Nova_Scotia,90000_to_9999,3.9,3.8,3.8,3.9,3.2,4.3,3.7,4.2,3.8,3.9,4
Nova_Scotia,100000_and_over,11.3,11.1,11.3,11.3,11.4,11.6,10.5,10.8,11.9,10.7,10.8
New_Brunswick,Average_employment_income,45100,45900,45800,45100,46400,48600,47800,48300,48200,47500,49100
New_Brunswick,Median_employment_income,35400,36400,36700,35800,36600,37400,38400,37900,38800,39000,40700
New_Brunswick,Percentage_under_5000,10.8,10.8,10.1,11.5,10.7,9.8,10.5,10.9,11,9.9,9.1
New_Brunswick,5000_to_9999,8,7.2,7,7.6,6.9,7.4,6.3,8.6,7.3,7.4,6.1
New_Brunswick,10000_to_9999,13.2,12.9,13.1,13.6,13.3,13.3,13.2,12.8,12.1,13.3,11.8
New_Brunswick,20000_to_9999,12.6,12.4,12.3,11.4,11.6,11.2,10.5,9.6,9.9,10.5,10.9
New_Brunswick,30000_to_9999,9.9,10.6,11,10.7,11.3,11.3,11.7,11,11.2,9.8,11.5
New_Brunswick,40000_to_9999,10.2,9.4,10,8.8,10.2,9.7,9.5,9.5,9.9,9.9,11
New_Brunswick,50000_to_9999,7.7,7.9,8.4,8.2,7.7,8.6,9,8.5,8.7,9.1,9.1
New_Brunswick,60000_to_9999,6,5.8,6,6.4,6,6,7,6.3,6.1,7.4,7.1
New_Brunswick,70000_to_9999,5,4.7,5.4,5.3,5.2,5.5,5.3,5,5,5.9,5.2
New_Brunswick,80000_to_9999,7.4,8.7,7.1,7.5,8,7.5,6.9,7.9,9,7.4,8.2
New_Brunswick,80000_to_9999,4.4,4.8,4,4.1,4.3,4,4.1,3.8,4.6,3.7,4.3
New_Brunswick,90000_to_9999,3,4,3.2,3.4,3.7,3.5,2.8,4,4.3,3.7,3.9
New_Brunswick,100000_and_over,9.2,9.4,9.3,9,9.2,9.7,10.1,10.2,9.9,9.3,9.9
Ontario,Average_employment_income,54900,55500,56400,56500,57700,57000,56000,56100,59300,59300,59100
Ontario,Median_employment_income,40500,41600,41800,41600,41900,42900,43200,41800,44400,44300,45000
Ontario,Percentage_under_5000,12.5,11.8,11,10.9,11.7,11,11,13.8,12.8,12,11.7
Ontario,5000_to_9999,7.5,7.2,7,7.3,6.8,6.6,6.6,8.3,7.9,6.6,6.3
Ontario,10000_to_9999,12,12.2,11.9,11.9,12.5,11.7,11.8,11,9.9,10.8,11.2
Ontario,20000_to_9999,8.6,9.3,10.1,9.8,9,9.3,9.2,8.1,8.5,8.8,8.6
Ontario,30000_to_9999,9,8.2,8.4,8.5,8.2,8.6,8.4,7.3,7.6,8.2,7.9
Ontario,40000_to_9999,7.8,8.4,8,8.1,8.4,8.5,8.5,7.5,7.9,8.2,8.6
Ontario,50000_to_9999,7.7,7.7,7,7.6,7.6,8,8.8,6.7,7.4,8.2,8
Ontario,60000_to_9999,6.1,6.4,7,6.7,6.5,6.5,6,6.7,6.8,6.7,6.6
Ontario,70000_to_9999,5.4,5.3,5.4,5.3,5.1,5.7,5.3,5.3,5.6,5.4,5.9
Ontario,80000_to_9999,8,7.6,8.2,8,8,8,8.5,8.6,8.4,8.6,8.5
Ontario,80000_to_9999,4.3,4.3,4.3,4.3,4.5,4.2,4.6,4.5,4.3,4.6,4.7
Ontario,90000_to_9999,3.7,3.3,3.9,3.7,3.5,3.9,4,4.1,4.1,4,3.9
Ontario,100000_and_over,15.4,15.9,16,16,16.2,16,15.8,16.8,17.3,16.5,16.7
Alberta,Average_employment_income,69900,68900,70000,63700,65300,65500,64000,60900,64500,61700,62600
Alberta,Median_employment_income,53400,52200,50600,48600,50600,49400,49400,45900,48100,47200,47200
Alberta,Percentage_under_5000,7.6,9.3,8.3,9.4,8.9,9.6,9.9,11.3,11.2,11,11
Alberta,5000_to_9999,6.1,5.9,6.8,5.9,6.3,6.3,6.2,7.6,6.3,6.5,6.1
Alberta,10000_to_9999,10.1,10.4,10.2,11,11.1,10.7,9.6,10.6,11.1,9.5,10.7
Alberta,20000_to_9999,8.1,8,8.1,8.8,8.5,8.2,8.2,8.7,7.8,8.9,8.4
Alberta,30000_to_9999,8.2,8.5,8.8,8.4,7.5,8.2,7.9,7.7,7.9,8.2,7.9
Alberta,40000_to_9999,7.5,6.6,7.3,7.5,7.2,7.8,8.4,7.1,7.3,8.6,7.9
Alberta,50000_to_9999,7.3,7.3,6.4,7,8,7.5,7.5,7.1,7.4,7.4,7.6
Alberta,60000_to_9999,6.1,6.4,6.3,6.3,6.4,6.6,7.5,6.3,6.5,6.6,6.8
Alberta,70000_to_9999,6.4,5.5,6.4,6.1,5.9,5.5,5.4,5.1,5.8,5.5,5.7
Alberta,80000_to_9999,9.2,9,8.9,8.5,8.7,9.2,8.7,9.4,8.7,9.4,9.1
Alberta,80000_to_9999,5.1,4.7,4.5,4.9,4.7,4.7,4.6,4.6,4.8,5.3,5
Alberta,90000_to_9999,4.1,4.3,4.4,3.6,4,4.4,4.1,4.8,3.9,4,4.1
Alberta,100000_and_over,23.5,23.3,22.4,21.1,21.5,20.5,20.5,19.3,20,18.4,19
British_Columbia,Average_employment_income,51100,51300,50800,51200,51100,52800,52700,54200,57600,58300,60000
British_Columbia,Median_employment_income,38000,38900,37900,38400,37800,39000,40200,41700,44500,45300,46700
British_Columbia,Percentage_under_5000,13.7,14.6,13.6,14,14.4,14,12.6,13,11.5,10.5,10
British_Columbia,5000_to_9999,6.9,6.4,7.5,7.1,6.8,6.1,6.7,7.9,6.3,6.2,5.9
British_Columbia,10000_to_9999,12.4,12.3,11.8,11.2,11.2,11.2,11.6,11.5,10.4,10.5,10.8
British_Columbia,20000_to_9999,9.6,9.2,9.6,9.4,10,10.4,9.4,8.1,9.2,9.4,8.6
British_Columbia,30000_to_9999,9.3,8.4,9.4,10,9.8,9.3,9.5,8.3,8.8,8.5,8.5
British_Columbia,40000_to_9999,8,9.5,7.6,8.4,7.2,7.9,8.1,7.8,8.3,9.1,9.4
British_Columbia,50000_to_9999,7.5,7.6,7.3,7.2,7.5,7.8,8.1,7.6,7.7,8.8,8
British_Columbia,60000_to_9999,6.4,5.7,7,6.4,6.7,6.6,6.7,6.7,7,7.3,7.4
British_Columbia,70000_to_9999,4.8,5.5,4.5,5,4.7,5,5.8,5.3,5.7,5.5,6.3
British_Columbia,80000_to_9999,8.4,7.9,7.2,7,8.7,7.7,8.2,8.6,8.7,9.1,8.3
British_Columbia,80000_to_9999,4.2,4.7,3.6,3.5,4.5,3.6,4.7,4.6,4.7,4.6,4.4
British_Columbia,90000_to_9999,4.2,3.1,3.6,3.4,4.2,4.1,3.6,4,4,4.6,3.9
British_Columbia,100000_and_over,13,12.9,14.4,14.2,12.8,14,13.4,15.1,16.5,15.1,16.8
